4135,Taroom,South Queensland ,QLD
4137,Tewantin,Brisbane ,QLD
4138,Texas,South Queensland ,QLD
4139,Theodore,South Queensland ,QLD
4141,Thursday Island MF,North Queensland ,QLD
4142,Tingalpa MF,Brisbane ,QLD
4144,Yarrawonga RT,North Queensland ,QLD
4145,Tozer Hill,Brisbane ,QLD
4147,Wandoan,South Queensland ,QLD
4148,Weipa MF,North Queensland ,QLD
4149,Westwood Range RT,South Queensland ,QLD
4151,Yellowcap Ridge,South Queensland ,QLD
4152,Yungaburra MF,North Queensland ,QLD
4153,Island Point,North Queensland ,QLD
4154,Yeppoon WIN,South Queensland ,QLD
4156,Green Hill Road WIN,North Queensland ,QLD
4157,Mt Yarrabah,North Queensland ,QLD
4159,Mt Inkerman,North Queensland ,QLD
4160,Boonah,Brisbane ,QLD
4161,Bowen Hill,North Queensland ,QLD
4162,Mt Lucas,North Queensland ,QLD
4163,Tyrconnel Road,North Queensland ,QLD
4164,Graham Range WIN,North Queensland ,QLD
4165,Moranbah,North Queensland ,QLD
4169,Warwick,South Queensland ,QLD
4170,Esk,South Queensland ,QLD
4172,Partington Railway Yard,North Queensland ,QLD
4175,Tara WIN,South Queensland ,QLD
4176,Glenden,North Queensland ,QLD
4177,Murgon WIN,South Queensland ,QLD
4182,Bell,South Queensland ,QLD
4183,Forbes Avenue WIN,South Queensland ,QLD
4187,Biloela RT,South Queensland ,QLD
4197,Mt Lowe,North Queensland ,QLD
4198,Mt Williams,North Queensland ,QLD
4200,Ghost Hill,South Queensland ,QLD
4218,Lakeland RT,North Queensland ,QLD
4220,Hallorans Hill,North Queensland ,QLD
4222,Talagai Avenue WIN,North Queensland ,QLD
4237,Mt Coot-Tha TXA Seven,Brisbane ,QLD
4245,Mt Mee,Brisbane ,QLD
4265,Emerald Stock Route WIN,South Queensland ,QLD
4294,Mt Coot-Tha TXA Ten,Brisbane ,QLD
4309,Dundowran MF,South Queensland ,QLD
4318,Eastmans Ridge,South Queensland ,QLD
4319,Mt Kynoch,South Queensland ,QLD
4321,Mulleys Hill,North Queensland ,QLD
4328,Barcaldine Water Tower,South Queensland ,QLD
4329,Blackall Council Depot,South Queensland ,QLD
4330,Cloncurry Water Tower,North Queensland ,QLD
4331,Cunnamulla Water Tower,South Queensland ,QLD
4333,Weipa Water Tower,North Queensland ,QLD
4334,Winton Water Tower,North Queensland ,QLD
4336,Mt Archer,South Queensland ,QLD
5001,Andamooka RT,Adelaide ,SA
5002,Berri MF,Adelaide ,SA
5003,Bordertown RT,Adelaide ,SA
5004,Borthwick Hill RT,Adelaide ,SA
5005,Coffin Bay Lookout,Adelaide ,SA
5006,Coober Pedy RT,Adelaide ,SA
5007,Crystal Brook MF,Adelaide ,SA
5008,Grenfell Centre,Adelaide ,SA
5009,Hawker,Adelaide ,SA
5010,Keith RT,Adelaide ,SA
5011,Kongwirra RT,Adelaide ,SA
5012,Leigh Creek MF,Adelaide ,SA
5013,Loxton,Adelaide ,SA
5014,Marree,Adelaide ,SA
5015,Mt Burr,Adelaide ,SA
5016,Mt Damper,Adelaide ,SA
5017,Mt Gambier MF,Adelaide ,SA
5018,Mt Lofty,Adelaide ,SA
5019,Mt Olinthus,Adelaide ,SA
5020,Naracoorte MF,Adelaide ,SA
5021,Pimpala MF,Adelaide ,SA
